,peak_id,peak_name,pk_name_2,location,height_m,himal,region,open,unlisted,trekking,restrict,country_host,country_status,year,season,expid,summiter_country,summiters
181,KARK,Karko,,Saipal Himal (WNW of Saipal),6015,Saipal,Kanjiroba-Far West,True,False,False,Opened in 2002,Nepal only,Unclimbed,0,Unknown,,,Unclimbed?
182,KARS,Karsang Kang,Kharsang,Damodar Himal (NE of Saribung),6225,Damodar,Annapurna-Damodar-Peri,True,False,False,Opened in 2014,Nepal only,Climbed,2008,Autumn,KARS08301,France,"Paulo Grobel, Mary Cler"
183,KARY,Karyolung,,Rolwaling Himal (SE of Numbur),6530,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal only,Climbed,1982,Autumn,KARY82301,"Japan, Nepal","Yoshiyuki Inoue, Masatoshi Iwasa, Hiroshi Nishie, Yogendra Thapa, Gita Bdr Joshi, Babu Ram Pun, Gore Tamang, Pemba Tshering Sherpa"
184,KASI,Kasi Dalpha,,Jagdula Lekh (S of Kande Huinchuli),6386,Kanjiroba,Kanjiroba-Far West,True,False,False,Opened in 2014,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
185,KBNE,Kangbachen East,Kambachen East,Kangchenjunga Himal (plateau SE of Kangbachen?),7780,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,Opened in 2014,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
186,KBON,Konabon,Kambon,Dhaulagiri Himal (SE of Gurja Himal),6570,Dhaulagiri,Dhaulagiri-Mukut,True,False,False,Opened in 2003,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
187,KCHN,Kangchung Nup,"Khangchung Nup, Kangcho Nup, Cholo",Khumbu Himal (NE of Gokyo Lake),6043,Khumbu,Khumbu-Rolwaling-Makalu,False,True,False,,Nepal only,Climbed,1953,Spring,KCHN53101,"UK, New Zealand","Edmund Hillary, Wilfred Noyce, Charles Wylie"
188,KCHS,Kangchung Shar,"Khangchung, Kangcho Shar, UIAA Peak",Khumbu Himal (NE of Gokyo Lake),6063,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2014,Nepal only,Climbed,1984,Autumn,KCHS84301,Yugoslavia,Francek Knez
189,KGRI,Khangri Shar,,Khumbu Himal (W of Pumori),6792,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
190,KGRW,Khangri West,,Khumbu Himal (W of Pumori),6658,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
